Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,ssc_p,hsc_p,PlacedOrNot
22,Male,Electronics And Communication,1,8,1,1,67,91,1
21,Female,Computer Science,0,7,1,1,79.33,78.33,1
22,Female,Information Technology,1,6,0,0,65,68,1
21,Male,Information Technology,0,8,0,1,56,52,1
22,Male,Mechanical,0,8,1,0,85.8,73.6,1
22,Male,Electronics And Communication,0,6,0,0,55,49.8,0
21,Male,Computer Science,0,7,0,1,46,49.2,0
21,Male,Information Technology,1,7,0,0,82,64,0
21,Male,Computer Science,2,6,0,0,73,79,1
21,Female,Computer Science,1,6,1,0,58,70,0
22,Male,Computer Science,1,7,0,0,58,61,0
22,Female,Electrical,1,8,0,1,69.6,68.4,1
21,Female,Computer Science,2,6,1,1,47,55,0
21,Male,Computer Science,1,8,0,1,77,87,1
21,Female,Electronics And Communication,2,8,0,0,62,47,1
22,Male,Mechanical,0,8,1,0,65,75,1
22,Female,Computer Science,1,7,1,0,63,66.2,0
21,Male,Civil,0,6,0,0,55,67,0
21,Male,Computer Science,1,7,0,0,63,66,0
22,Male,Computer Science,1,7,0,0,60,67,0
22,Male,Civil,0,8,0,0,62,65,1
21,Male,Computer Science,1,6,0,0,79,76,0
22,Male,Civil,0,7,0,0,69.8,60.8,0
22,Male,Electronics And Communication,1,7,0,1,77.4,60,0
22,Male,Electronics And Communication,0,7,0,0,76.5,97.7,0
21,Male,Electrical,0,8,1,0,52.58,54.6,1
22,Male,Electrical,1,8,0,0,71,79,1
22,Male,Information Technology,1,8,0,0,63,67,1
22,Male,Information Technology,1,8,0,0,76.76,76.5,1
21,Male,Information Technology,0,6,0,0,62,67,1
22,Male,Mechanical,1,8,1,0,64,73.5,1
21,Male,Electrical,1,7,0,0,67,53,1
21,Female,Civil,1,7,0,0,61,81,0
21,Male,Electrical,0,7,0,0,87,65,0
21,Male,Computer Science,1,6,0,0,62,51,1
21,Male,Information Technology,1,6,0,0,69,78,0
22,Male,Civil,0,7,0,0,51,44,1
22,Male,Computer Science,1,8,0,0,79,76,1
22,Male,Information Technology,1,6,0,0,73,58,0
22,Male,Electronics And Communication,0,8,0,1,81,68,1
22,Male,Electrical,1,6,0,1,78,77,0
22,Male,Civil,0,8,1,0,74,63.16,1
21,Male,Electrical,1,7,1,1,49,39,1
21,Male,Electrical,1,7,0,0,87,87,1
22,Female,Information Technology,2,8,0,0,77,73,1
21,Female,Electronics And Communication,3,6,0,0,76,64,1
22,Male,Computer Science,1,8,0,0,70.89,71.98,1
21,Male,Electronics And Communication,1,7,0,1,63,60,1
21,Male,Information Technology,2,7,0,0,63,62,1
21,Female,Electronics And Communication,0,7,0,0,50,37,0
22,Male,Electronics And Communication,0,8,0,0,75.2,73.2,1
21,Male,Electrical,1,8,0,0,54.4,61.12,1
21,Female,Computer Science,1,8,1,0,40.89,45.83,1
21,Male,Electrical,3,6,1,1,80,70,0
21,Female,Electronics And Communication,3,6,0,0,74,60,1
21,Male,Computer Science,1,7,0,0,60.4,66.6,1
21,Male,Electronics And Communication,0,8,0,0,63,71.4,1
21,Male,Civil,0,8,0,0,68,76,1
21,Male,Electronics And Communication,0,8,0,0,74,62,1
21,Female,Electrical,1,8,0,0,52.6,65.58,1
21,Male,Computer Science,2,9,0,1,74,70,1
22,Male,Computer Science,0,8,0,0,84.2,73.4,1
21,Male,Information Technology,0,8,0,0,86.5,64.2,1
21,Male,Information Technology,0,9,0,0,61,70,1
21,Male,Information Technology,1,8,1,0,80,73,1
22,Male,Mechanical,0,9,0,0,54,47,1
22,Male,Computer Science,1,9,0,0,83,74,1
21,Male,Information Technology,0,8,0,0,80.92,78.5,1
22,Male,Computer Science,2,9,0,0,69.7,47,1
21,Male,Mechanical,0,8,1,1,73,73,1
22,Male,Electrical,1,8,0,0,82,61,1
22,Male,Information Technology,0,9,0,0,75,70.29,1
22,Male,Computer Science,3,9,0,0,84.86,67,1
21,Male,Information Technology,0,8,0,0,64.6,83.83,1
22,Male,Information Technology,1,9,0,0,56.6,64.8,1
21,Male,Civil,0,8,0,0,59,62,1
21,Male,Mechanical,0,9,1,0,66.5,70.4,1
22,Male,Mechanical,0,8,1,1,64,80,1
22,Male,Information Technology,0,8,0,0,84,90.9,1
21,Male,Computer Science,1,8,0,0,69,62,1
21,Male,Civil,0,9,0,0,69,62,1
21,Male,Computer Science,1,9,0,0,81.7,63,1
22,Male,Mechanical,0,8,1,0,63,67,1
21,Male,Information Technology,0,8,0,0,84,79,1
21,Male,Mechanical,0,8,1,0,70,63,1
21,Male,Electronics And Communication,2,7,0,0,83.84,89.83,1
21,Male,Computer Science,0,8,0,0,62,63,1
21,Male,Computer Science,0,6,0,0,59.6,51,0
22,Female,Civil,1,6,1,0,66,62,0
22,Male,Mechanical,1,7,0,0,84,75,0
21,Male,Civil,1,8,0,1,85,90,1
22,Male,Information Technology,1,6,0,0,52,57,1
21,Male,Electrical,1,6,0,0,60.23,69,1
22,Female,Information Technology,2,7,0,0,52,62,0
22,Male,Electronics And Communication,0,6,0,0,58,62,0
22,Male,Computer Science,1,8,0,0,73,78,1
21,Male,Computer Science,2,7,0,0,76,70,0
22,Male,Information Technology,0,8,0,0,70.5,62.5,1
22,Female,Information Technology,0,7,0,0,69,73,0
21,Male,Mechanical,0,7,0,0,54,82,0
23,Male,Computer Science,0,7,0,0,45,57,1
